username,selectedThemes
Tricia Kent,"['5_AR/VR', '20_E-commerce/Retail', '15_Music/Art', '22_Open Ended', '2_DevOps', '16_Health', '8_Voice skills', '12_Lifehacks', '9_Cybersecurity', '6_Machine Learning/AI', '13_Social Good', '18_Design', '27_Robotic Process Automation', '24_Quantum', '14_COVID-19', '11_Productivity', '21_Enterprise']"
Hannah Wright,"['6_Machine Learning/AI', '5_AR/VR', '8_Voice skills', '24_Quantum', '2_DevOps', '12_Lifehacks', '18_Design', '14_COVID-19', '27_Robotic Process Automation', '13_Social Good', '22_Open Ended', '17_Low/No Code', '20_E-commerce/Retail', '16_Health', '11_Productivity', '10_Communication', '3_Fintech', '28_Databases', '1_Blockchain', '26_Mobile', '25_Web', '21_Enterprise', '15_Music/Art', '23_Beginner Friendly', '19_Education']"
Christina Tanner,"['12_Lifehacks', '27_Robotic Process Automation', '19_Education', '8_Voice skills', '10_Communication', '23_Beginner Friendly', '4_Gaming', '20_E-commerce/Retail', '15_Music/Art', '6_Machine Learning/AI', '3_Fintech', '18_Design', '26_Mobile', '2_DevOps', '1_Blockchain', '5_AR/VR', '16_Health', '25_Web', '11_Productivity', '24_Quantum', '14_COVID-19', '13_Social Good', '21_Enterprise', '9_Cybersecurity', '28_Databases']"
Ross Donovan,"['2_DevOps', '18_Design', '21_Enterprise', '10_Communication', '19_Education', '1_Blockchain', '6_Machine Learning/AI', '11_Productivity', '12_Lifehacks', '14_COVID-19', '26_Mobile', '24_Quantum', '7_IoT']"
Jade King,"['18_Design', '11_Productivity', '4_Gaming', '6_Machine Learning/AI', '5_AR/VR', '28_Databases', '16_Health', '10_Communication', '7_IoT', '15_Music/Art', '20_E-commerce/Retail', '23_Beginner Friendly', '17_Low/No Code', '13_Social Good']"
Allison Ewing,"['21_Enterprise', '16_Health', '26_Mobile', '19_Education', '3_Fintech', '9_Cybersecurity', '1_Blockchain', '8_Voice skills', '6_Machine Learning/AI', '28_Databases', '20_E-commerce/Retail', '2_DevOps', '24_Quantum', '17_Low/No Code', '7_IoT', '25_Web', '5_AR/VR', '15_Music/Art', '22_Open Ended', '13_Social Good', '14_COVID-19', '18_Design', '23_Beginner Friendly', '27_Robotic Process Automation', '12_Lifehacks', '10_Communication', '11_Productivity', '4_Gaming']"
Jeremiah Hill,"['9_Cybersecurity', '1_Blockchain', '6_Machine Learning/AI', '5_AR/VR', '8_Voice skills', '10_Communication', '19_Education', '25_Web', '20_E-commerce/Retail', '16_Health', '28_Databases', '23_Beginner Friendly', '27_Robotic Process Automation', '15_Music/Art', '2_DevOps', '26_Mobile', '24_Quantum', '21_Enterprise', '12_Lifehacks', '14_COVID-19', '22_Open Ended', '7_IoT', '11_Productivity', '3_Fintech']"
Sarah Herrera,['20_E-commerce/Retail']
Terri Wilson,"['1_Blockchain', '23_Beginner Friendly', '18_Design', '25_Web', '14_COVID-19', '9_Cybersecurity', '27_Robotic Process Automation', '17_Low/No Code', '8_Voice skills', '16_Health', '12_Lifehacks', '2_DevOps', '28_Databases', '26_Mobile', '21_Enterprise', '10_Communication', '3_Fintech']"
David Brown,"['2_DevOps', '25_Web', '22_Open Ended', '19_Education']"
Gabrielle Hensley,"['20_E-commerce/Retail', '12_Lifehacks', '16_Health', '18_Design', '13_Social Good', '26_Mobile', '21_Enterprise', '19_Education', '25_Web', '17_Low/No Code', '8_Voice skills', '27_Robotic Process Automation', '1_Blockchain', '4_Gaming', '15_Music/Art', '9_Cybersecurity', '2_DevOps', '10_Communication', '22_Open Ended', '7_IoT', '28_Databases', '14_COVID-19', '3_Fintech', '11_Productivity', '6_Machine Learning/AI', '5_AR/VR']"
Charles Ray,"['16_Health', '11_Productivity', '5_AR/VR', '4_Gaming', '23_Beginner Friendly', '14_COVID-19']"
Randall Anderson,"['15_Music/Art', '7_IoT', '11_Productivity', '14_COVID-19', '20_E-commerce/Retail', '16_Health', '22_Open Ended', '23_Beginner Friendly', '4_Gaming', '21_Enterprise', '2_DevOps', '3_Fintech', '26_Mobile', '13_Social Good', '1_Blockchain', '8_Voice skills']"
Martha Ramirez,"['18_Design', '12_Lifehacks', '1_Blockchain', '13_Social Good', '7_IoT', '28_Databases', '24_Quantum', '14_COVID-19', '2_DevOps', '15_Music/Art', '16_Health', '4_Gaming', '3_Fintech', '11_Productivity', '5_AR/VR', '26_Mobile', '19_Education', '6_Machine Learning/AI', '10_Communication', '9_Cybersecurity', '27_Robotic Process Automation', '25_Web']"
Kimberly Smith,"['19_Education', '23_Beginner Friendly', '28_Databases', '15_Music/Art', '7_IoT', '13_Social Good', '14_COVID-19', '8_Voice skills', '3_Fintech', '21_Enterprise', '1_Blockchain', '22_Open Ended', '5_AR/VR', '11_Productivity', '26_Mobile', '27_Robotic Process Automation', '2_DevOps', '9_Cybersecurity', '25_Web', '18_Design', '20_E-commerce/Retail', '12_Lifehacks']"
Craig Snyder,"['25_Web', '21_Enterprise', '10_Communication', '1_Blockchain', '16_Health', '6_Machine Learning/AI', '3_Fintech', '14_COVID-19', '4_Gaming', '26_Mobile', '23_Beginner Friendly', '24_Quantum', '2_DevOps']"
Adam French,['11_Productivity']
Eric Odom,"['20_E-commerce/Retail', '17_Low/No Code', '16_Health', '21_Enterprise', '6_Machine Learning/AI', '18_Design', '3_Fintech', '25_Web', '10_Communication', '5_AR/VR', '1_Blockchain', '14_COVID-19', '23_Beginner Friendly', '15_Music/Art', '24_Quantum', '2_DevOps', '13_Social Good']"
Frederick Hoffman,"['11_Productivity', '8_Voice skills', '27_Robotic Process Automation', '6_Machine Learning/AI', '22_Open Ended', '12_Lifehacks', '9_Cybersecurity', '20_E-commerce/Retail', '17_Low/No Code', '15_Music/Art', '21_Enterprise', '28_Databases', '5_AR/VR', '14_COVID-19', '19_Education', '3_Fintech', '2_DevOps', '25_Web', '10_Communication', '24_Quantum', '7_IoT', '4_Gaming', '1_Blockchain', '26_Mobile']"
Ashley Rogers,"['17_Low/No Code', '5_AR/VR', '26_Mobile', '14_COVID-19', '8_Voice skills', '1_Blockchain', '16_Health', '18_Design', '4_Gaming', '13_Social Good', '3_Fintech', '25_Web', '21_Enterprise', '11_Productivity', '9_Cybersecurity', '19_Education', '12_Lifehacks', '22_Open Ended', '20_E-commerce/Retail', '28_Databases', '10_Communication', '6_Machine Learning/AI', '7_IoT', '24_Quantum', '2_DevOps', '23_Beginner Friendly', '15_Music/Art']"
Renee Estrada,"['25_Web', '22_Open Ended', '14_COVID-19', '1_Blockchain', '27_Robotic Process Automation', '13_Social Good', '7_IoT', '8_Voice skills', '18_Design', '23_Beginner Friendly', '2_DevOps', '10_Communication', '15_Music/Art', '20_E-commerce/Retail', '12_Lifehacks']"
Andrew Smith,"['4_Gaming', '27_Robotic Process Automation', '5_AR/VR', '8_Voice skills', '3_Fintech', '11_Productivity', '23_Beginner Friendly', '20_E-commerce/Retail', '9_Cybersecurity', '7_IoT', '21_Enterprise', '10_Communication', '14_COVID-19', '2_DevOps', '22_Open Ended', '12_Lifehacks']"
Elizabeth Bates,"['26_Mobile', '15_Music/Art', '14_COVID-19', '11_Productivity', '17_Low/No Code', '24_Quantum', '8_Voice skills', '13_Social Good', '18_Design', '12_Lifehacks', '1_Blockchain', '10_Communication', '16_Health', '2_DevOps', '19_Education', '9_Cybersecurity']"
Jason Wong,"['26_Mobile', '9_Cybersecurity', '12_Lifehacks', '15_Music/Art', '4_Gaming', '22_Open Ended', '24_Quantum']"
Kelsey Wilson,"['17_Low/No Code', '8_Voice skills', '1_Blockchain', '3_Fintech', '25_Web', '18_Design']"
Joanna Turner,"['18_Design', '14_COVID-19', '9_Cybersecurity', '4_Gaming', '11_Productivity', '27_Robotic Process Automation', '3_Fintech', '2_DevOps', '26_Mobile', '12_Lifehacks']"
Stephen Benson,"['7_IoT', '5_AR/VR', '9_Cybersecurity', '25_Web', '3_Fintech', '2_DevOps', '1_Blockchain', '10_Communication', '6_Machine Learning/AI']"
Stephanie Cowan,"['28_Databases', '9_Cybersecurity', '6_Machine Learning/AI', '16_Health', '3_Fintech', '2_DevOps', '27_Robotic Process Automation', '5_AR/VR', '8_Voice skills', '25_Web', '4_Gaming', '24_Quantum', '12_Lifehacks', '22_Open Ended']"
Jeremy Jackson,"['21_Enterprise', '16_Health', '22_Open Ended', '18_Design', '19_Education', '8_Voice skills', '4_Gaming', '9_Cybersecurity', '14_COVID-19', '24_Quantum', '1_Blockchain', '12_Lifehacks', '13_Social Good', '27_Robotic Process Automation', '6_Machine Learning/AI', '23_Beginner Friendly', '2_DevOps', '20_E-commerce/Retail']"
Laura Lee,"['25_Web', '11_Productivity', '28_Databases', '24_Quantum', '21_Enterprise', '3_Fintech', '18_Design', '22_Open Ended', '14_COVID-19', '12_Lifehacks', '9_Cybersecurity', '23_Beginner Friendly', '2_DevOps', '8_Voice skills', '6_Machine Learning/AI', '26_Mobile', '17_Low/No Code', '27_Robotic Process Automation', '15_Music/Art', '7_IoT', '16_Health', '1_Blockchain', '10_Communication', '5_AR/VR', '13_Social Good', '4_Gaming']"
Timothy Davis,"['11_Productivity', '14_COVID-19', '19_Education', '27_Robotic Process Automation', '16_Health', '25_Web', '18_Design', '7_IoT', '1_Blockchain', '3_Fintech', '4_Gaming', '15_Music/Art', '8_Voice skills', '5_AR/VR', '26_Mobile', '22_Open Ended', '12_Lifehacks', '24_Quantum', '9_Cybersecurity', '13_Social Good', '28_Databases', '21_Enterprise', '20_E-commerce/Retail', '6_Machine Learning/AI', '17_Low/No Code', '23_Beginner Friendly', '10_Communication', '2_DevOps']"
Holly Moody,"['8_Voice skills', '20_E-commerce/Retail', '19_Education', '24_Quantum', '17_Low/No Code', '28_Databases']"
Katherine Shaw,"['12_Lifehacks', '22_Open Ended']"
Donald Jordan,"['24_Quantum', '14_COVID-19', '25_Web', '2_DevOps', '18_Design', '20_E-commerce/Retail', '16_Health', '11_Productivity', '19_Education', '15_Music/Art', '12_Lifehacks', '13_Social Good', '7_IoT', '26_Mobile', '27_Robotic Process Automation', '8_Voice skills', '3_Fintech', '9_Cybersecurity', '17_Low/No Code', '1_Blockchain', '4_Gaming', '23_Beginner Friendly', '6_Machine Learning/AI', '21_Enterprise', '5_AR/VR', '10_Communication']"
Laurie Campbell,"['20_E-commerce/Retail', '1_Blockchain', '19_Education', '12_Lifehacks', '7_IoT', '25_Web', '4_Gaming', '26_Mobile', '2_DevOps', '18_Design', '23_Beginner Friendly', '15_Music/Art']"
Corey Benson,"['16_Health', '7_IoT']"
Matthew Cherry,"['28_Databases', '13_Social Good', '17_Low/No Code', '22_Open Ended', '7_IoT', '10_Communication', '25_Web', '19_Education', '6_Machine Learning/AI', '16_Health', '23_Beginner Friendly', '9_Cybersecurity', '1_Blockchain', '4_Gaming', '27_Robotic Process Automation', '20_E-commerce/Retail', '24_Quantum', '8_Voice skills', '18_Design', '5_AR/VR']"
Alexander Perry,"['17_Low/No Code', '13_Social Good', '26_Mobile', '25_Web', '7_IoT', '10_Communication', '1_Blockchain', '23_Beginner Friendly', '24_Quantum', '12_Lifehacks', '16_Health', '20_E-commerce/Retail']"
Joseph Tapia,"['23_Beginner Friendly', '1_Blockchain', '3_Fintech', '10_Communication', '20_E-commerce/Retail']"
Brent James,"['28_Databases', '12_Lifehacks', '27_Robotic Process Automation', '14_COVID-19', '19_Education', '18_Design', '21_Enterprise', '25_Web', '11_Productivity', '20_E-commerce/Retail', '6_Machine Learning/AI', '15_Music/Art']"
Sheryl West,"['1_Blockchain', '7_IoT', '15_Music/Art', '21_Enterprise', '13_Social Good', '19_Education', '18_Design', '26_Mobile']"
Rick Martin,"['1_Blockchain', '16_Health', '26_Mobile', '25_Web', '20_E-commerce/Retail', '5_AR/VR']"
Daniel Bell DDS,"['14_COVID-19', '19_Education', '1_Blockchain', '9_Cybersecurity', '16_Health', '18_Design', '3_Fintech', '25_Web', '26_Mobile', '4_Gaming', '12_Lifehacks', '15_Music/Art', '21_Enterprise', '7_IoT', '20_E-commerce/Retail', '23_Beginner Friendly', '27_Robotic Process Automation', '8_Voice skills']"
Jonathan Snyder,"['10_Communication', '23_Beginner Friendly', '22_Open Ended', '16_Health', '25_Web', '7_IoT', '24_Quantum', '12_Lifehacks', '19_Education', '8_Voice skills', '14_COVID-19', '18_Design', '17_Low/No Code', '26_Mobile', '5_AR/VR', '21_Enterprise', '15_Music/Art', '13_Social Good', '9_Cybersecurity', '27_Robotic Process Automation', '1_Blockchain', '6_Machine Learning/AI', '4_Gaming', '3_Fintech', '11_Productivity', '28_Databases', '2_DevOps', '20_E-commerce/Retail']"
Gabriel Parks,"['2_DevOps', '15_Music/Art', '20_E-commerce/Retail', '23_Beginner Friendly', '28_Databases', '16_Health', '17_Low/No Code', '25_Web', '4_Gaming', '24_Quantum', '8_Voice skills', '9_Cybersecurity', '3_Fintech', '26_Mobile', '6_Machine Learning/AI', '27_Robotic Process Automation', '19_Education', '18_Design']"
Robert Jones,"['2_DevOps', '20_E-commerce/Retail', '6_Machine Learning/AI', '13_Social Good', '26_Mobile', '4_Gaming', '15_Music/Art', '23_Beginner Friendly', '25_Web', '9_Cybersecurity', '19_Education', '12_Lifehacks', '1_Blockchain', '5_AR/VR', '7_IoT', '21_Enterprise', '24_Quantum', '14_COVID-19', '28_Databases', '8_Voice skills']"
Joseph Coleman,"['7_IoT', '1_Blockchain', '26_Mobile', '2_DevOps', '16_Health', '14_COVID-19', '20_E-commerce/Retail', '22_Open Ended', '11_Productivity', '21_Enterprise', '23_Beginner Friendly', '24_Quantum', '28_Databases', '3_Fintech', '13_Social Good', '4_Gaming', '19_Education', '15_Music/Art', '12_Lifehacks', '5_AR/VR']"
Jillian Medina,"['6_Machine Learning/AI', '15_Music/Art', '12_Lifehacks', '19_Education', '22_Open Ended', '16_Health']"
Ashley Ramirez,"['27_Robotic Process Automation', '16_Health', '1_Blockchain', '18_Design']"
Tanya Jimenez,"['23_Beginner Friendly', '13_Social Good', '20_E-commerce/Retail', '12_Lifehacks', '15_Music/Art', '24_Quantum', '5_AR/VR', '14_COVID-19', '2_DevOps', '1_Blockchain', '16_Health', '9_Cybersecurity', '7_IoT', '8_Voice skills', '25_Web', '17_Low/No Code', '18_Design', '26_Mobile', '11_Productivity', '22_Open Ended', '28_Databases', '3_Fintech']"
Cody Johnson,"['2_DevOps', '23_Beginner Friendly', '27_Robotic Process Automation', '24_Quantum', '10_Communication', '4_Gaming', '12_Lifehacks', '11_Productivity', '25_Web', '14_COVID-19', '8_Voice skills', '17_Low/No Code']"
Kevin Wilson,"['20_E-commerce/Retail', '18_Design', '12_Lifehacks', '21_Enterprise', '25_Web', '13_Social Good', '5_AR/VR', '26_Mobile', '22_Open Ended', '28_Databases', '9_Cybersecurity', '4_Gaming', '10_Communication', '14_COVID-19', '2_DevOps', '27_Robotic Process Automation', '11_Productivity', '17_Low/No Code']"
Gary Evans,"['4_Gaming', '10_Communication', '23_Beginner Friendly', '6_Machine Learning/AI', '27_Robotic Process Automation', '25_Web', '2_DevOps', '21_Enterprise', '18_Design', '22_Open Ended', '20_E-commerce/Retail', '1_Blockchain', '28_Databases', '24_Quantum', '7_IoT', '8_Voice skills', '17_Low/No Code', '14_COVID-19', '3_Fintech', '12_Lifehacks', '5_AR/VR', '13_Social Good', '19_Education', '26_Mobile', '15_Music/Art', '16_Health']"
Ashley Stephens,['23_Beginner Friendly']
Mark Stephenson,"['13_Social Good', '24_Quantum', '9_Cybersecurity', '1_Blockchain', '10_Communication', '27_Robotic Process Automation', '19_Education', '22_Open Ended', '4_Gaming', '2_DevOps', '8_Voice skills', '18_Design', '5_AR/VR', '20_E-commerce/Retail', '3_Fintech', '21_Enterprise', '17_Low/No Code', '11_Productivity', '15_Music/Art', '26_Mobile', '25_Web', '12_Lifehacks', '14_COVID-19', '6_Machine Learning/AI', '7_IoT']"
George Barton,"['18_Design', '6_Machine Learning/AI', '5_AR/VR', '28_Databases', '4_Gaming', '2_DevOps', '10_Communication', '19_Education', '22_Open Ended', '7_IoT', '25_Web', '15_Music/Art', '1_Blockchain', '27_Robotic Process Automation', '23_Beginner Friendly', '9_Cybersecurity', '11_Productivity', '12_Lifehacks', '21_Enterprise']"
Dustin Smith,"['12_Lifehacks', '24_Quantum', '27_Robotic Process Automation', '9_Cybersecurity', '11_Productivity', '19_Education', '14_COVID-19', '22_Open Ended', '26_Mobile', '17_Low/No Code', '5_AR/VR', '21_Enterprise', '4_Gaming', '15_Music/Art', '3_Fintech', '7_IoT', '28_Databases', '25_Web', '10_Communication', '18_Design', '6_Machine Learning/AI', '16_Health', '1_Blockchain', '23_Beginner Friendly', '8_Voice skills', '2_DevOps', '13_Social Good', '20_E-commerce/Retail']"
Richard Dean,"['24_Quantum', '11_Productivity', '14_COVID-19', '25_Web', '3_Fintech', '20_E-commerce/Retail', '6_Machine Learning/AI', '26_Mobile', '28_Databases', '1_Blockchain', '21_Enterprise', '27_Robotic Process Automation', '2_DevOps', '10_Communication', '22_Open Ended', '23_Beginner Friendly']"
Christine Thornton,"['19_Education', '22_Open Ended', '7_IoT', '21_Enterprise', '26_Mobile']"
Allison Hayes,"['5_AR/VR', '12_Lifehacks', '18_Design', '3_Fintech', '10_Communication', '7_IoT', '8_Voice skills', '19_Education', '1_Blockchain', '6_Machine Learning/AI', '20_E-commerce/Retail', '21_Enterprise', '16_Health', '22_Open Ended', '28_Databases', '26_Mobile', '11_Productivity', '23_Beginner Friendly', '13_Social Good', '2_DevOps']"
Jordan Kramer,"['1_Blockchain', '8_Voice skills', '19_Education', '22_Open Ended', '3_Fintech', '10_Communication', '28_Databases', '26_Mobile', '17_Low/No Code', '18_Design', '25_Web', '6_Machine Learning/AI']"
Valerie Santiago,"['11_Productivity', '8_Voice skills', '16_Health', '1_Blockchain', '13_Social Good', '10_Communication', '6_Machine Learning/AI', '19_Education', '3_Fintech', '28_Databases', '22_Open Ended', '21_Enterprise', '20_E-commerce/Retail', '25_Web']"
Karen Nelson,"['11_Productivity', '4_Gaming']"
Craig Higgins,"['6_Machine Learning/AI', '13_Social Good', '25_Web', '24_Quantum', '17_Low/No Code', '23_Beginner Friendly', '10_Communication']"
Gregory Miller,"['5_AR/VR', '24_Quantum', '10_Communication', '6_Machine Learning/AI', '18_Design', '28_Databases', '14_COVID-19']"
Shari Butler,"['28_Databases', '11_Productivity', '21_Enterprise', '24_Quantum', '13_Social Good', '2_DevOps', '10_Communication', '17_Low/No Code', '9_Cybersecurity', '16_Health', '6_Machine Learning/AI', '3_Fintech', '23_Beginner Friendly', '20_E-commerce/Retail', '25_Web', '7_IoT', '27_Robotic Process Automation', '14_COVID-19', '8_Voice skills', '22_Open Ended', '19_Education']"
Robert Snyder,"['11_Productivity', '4_Gaming', '25_Web', '23_Beginner Friendly', '3_Fintech', '18_Design', '20_E-commerce/Retail', '12_Lifehacks', '26_Mobile', '6_Machine Learning/AI', '19_Education', '10_Communication', '17_Low/No Code', '27_Robotic Process Automation', '1_Blockchain', '13_Social Good', '8_Voice skills', '5_AR/VR', '7_IoT', '16_Health', '24_Quantum', '15_Music/Art', '9_Cybersecurity', '28_Databases', '22_Open Ended']"
Casey Phillips,"['1_Blockchain', '22_Open Ended', '3_Fintech', '5_AR/VR', '16_Health', '4_Gaming', '24_Quantum', '26_Mobile', '2_DevOps', '23_Beginner Friendly', '13_Social Good', '28_Databases', '17_Low/No Code', '27_Robotic Process Automation', '25_Web', '15_Music/Art', '10_Communication', '9_Cybersecurity', '18_Design', '7_IoT', '8_Voice skills', '14_COVID-19']"
Alexandra Anderson,"['26_Mobile', '11_Productivity', '13_Social Good', '16_Health', '15_Music/Art', '1_Blockchain', '8_Voice skills', '21_Enterprise', '10_Communication', '22_Open Ended', '19_Education']"
Kristen Nguyen,"['26_Mobile', '13_Social Good', '16_Health']"
Jennifer Perez,"['21_Enterprise', '9_Cybersecurity', '5_AR/VR', '8_Voice skills', '16_Health', '18_Design', '17_Low/No Code', '19_Education', '14_COVID-19', '26_Mobile', '23_Beginner Friendly', '3_Fintech', '4_Gaming', '22_Open Ended', '11_Productivity']"
Robert Gates,"['10_Communication', '3_Fintech', '12_Lifehacks', '20_E-commerce/Retail', '19_Education', '2_DevOps', '26_Mobile', '13_Social Good', '15_Music/Art']"
Sean Nelson,"['1_Blockchain', '8_Voice skills', '6_Machine Learning/AI', '24_Quantum', '26_Mobile', '22_Open Ended', '12_Lifehacks', '11_Productivity', '19_Education', '9_Cybersecurity', '15_Music/Art', '16_Health', '4_Gaming', '23_Beginner Friendly', '7_IoT', '13_Social Good', '27_Robotic Process Automation', '20_E-commerce/Retail']"
Courtney Harrington,"['14_COVID-19', '24_Quantum', '26_Mobile', '9_Cybersecurity', '8_Voice skills', '25_Web', '22_Open Ended', '27_Robotic Process Automation', '16_Health', '6_Machine Learning/AI', '1_Blockchain', '28_Databases', '4_Gaming', '13_Social Good', '12_Lifehacks', '23_Beginner Friendly', '15_Music/Art', '18_Design', '11_Productivity', '20_E-commerce/Retail', '3_Fintech', '2_DevOps', '5_AR/VR', '7_IoT', '19_Education']"
Paula Guerrero,"['27_Robotic Process Automation', '26_Mobile', '14_COVID-19', '1_Blockchain', '7_IoT', '20_E-commerce/Retail', '16_Health', '3_Fintech']"
Michael Martinez,"['14_COVID-19', '16_Health', '8_Voice skills', '10_Communication', '7_IoT', '12_Lifehacks', '25_Web']"
Jessica Wade,"['28_Databases', '9_Cybersecurity', '1_Blockchain', '19_Education', '25_Web', '8_Voice skills', '2_DevOps', '11_Productivity', '23_Beginner Friendly', '27_Robotic Process Automation', '7_IoT', '4_Gaming', '20_E-commerce/Retail', '10_Communication', '12_Lifehacks', '17_Low/No Code', '21_Enterprise', '16_Health', '24_Quantum']"
Adam Parker,"['7_IoT', '16_Health', '5_AR/VR', '25_Web', '9_Cybersecurity', '10_Communication', '26_Mobile', '8_Voice skills', '27_Robotic Process Automation', '14_COVID-19', '1_Blockchain', '6_Machine Learning/AI', '17_Low/No Code', '2_DevOps', '13_Social Good', '15_Music/Art', '3_Fintech', '12_Lifehacks', '18_Design']"
Ryan Mcdaniel,"['3_Fintech', '21_Enterprise']"
Samantha Anderson,"['2_DevOps', '20_E-commerce/Retail', '1_Blockchain', '13_Social Good', '23_Beginner Friendly', '22_Open Ended', '15_Music/Art', '17_Low/No Code', '5_AR/VR', '25_Web', '24_Quantum', '16_Health', '11_Productivity', '3_Fintech', '18_Design', '6_Machine Learning/AI', '10_Communication', '28_Databases']"
Carolyn Coleman,['23_Beginner Friendly']
Miss Kendra Williams MD,"['28_Databases', '10_Communication']"
Lindsey Anderson,"['7_IoT', '8_Voice skills', '14_COVID-19', '12_Lifehacks', '15_Music/Art', '5_AR/VR', '16_Health', '13_Social Good', '24_Quantum', '26_Mobile', '4_Gaming', '9_Cybersecurity', '6_Machine Learning/AI', '28_Databases', '3_Fintech', '25_Web', '17_Low/No Code', '23_Beginner Friendly']"
Randy Maddox,"['9_Cybersecurity', '25_Web', '6_Machine Learning/AI', '20_E-commerce/Retail', '16_Health', '3_Fintech']"
Bradley Evans,"['13_Social Good', '20_E-commerce/Retail', '7_IoT', '3_Fintech', '23_Beginner Friendly', '24_Quantum', '17_Low/No Code']"
Mary Contreras,"['15_Music/Art', '5_AR/VR', '2_DevOps', '4_Gaming', '17_Low/No Code', '23_Beginner Friendly', '26_Mobile', '20_E-commerce/Retail', '3_Fintech', '8_Voice skills', '28_Databases']"
Kelsey Hull,"['1_Blockchain', '12_Lifehacks', '21_Enterprise', '16_Health', '15_Music/Art']"
Leroy Jones,"['8_Voice skills', '3_Fintech', '15_Music/Art', '7_IoT', '21_Enterprise', '20_E-commerce/Retail', '25_Web', '9_Cybersecurity']"
Mr. Timothy Marquez,"['19_Education', '12_Lifehacks', '10_Communication', '26_Mobile', '2_DevOps', '14_COVID-19', '20_E-commerce/Retail', '9_Cybersecurity', '17_Low/No Code', '3_Fintech', '8_Voice skills', '13_Social Good', '4_Gaming', '1_Blockchain', '27_Robotic Process Automation', '23_Beginner Friendly', '18_Design', '24_Quantum', '7_IoT', '11_Productivity', '6_Machine Learning/AI', '21_Enterprise', '15_Music/Art', '16_Health', '25_Web', '22_Open Ended', '5_AR/VR']"
Jessica Ray,"['7_IoT', '8_Voice skills', '13_Social Good', '14_COVID-19', '26_Mobile', '19_Education', '16_Health', '27_Robotic Process Automation', '5_AR/VR', '24_Quantum', '15_Music/Art']"
Richard Aguirre,"['15_Music/Art', '25_Web', '10_Communication', '20_E-commerce/Retail', '11_Productivity', '3_Fintech', '8_Voice skills', '27_Robotic Process Automation', '1_Blockchain']"
Kimberly Wheeler,"['9_Cybersecurity', '6_Machine Learning/AI', '28_Databases', '4_Gaming', '11_Productivity', '5_AR/VR', '20_E-commerce/Retail', '21_Enterprise', '8_Voice skills', '18_Design', '17_Low/No Code', '7_IoT', '3_Fintech', '2_DevOps', '24_Quantum', '16_Health', '10_Communication', '15_Music/Art', '22_Open Ended', '25_Web', '12_Lifehacks', '1_Blockchain', '14_COVID-19', '13_Social Good', '19_Education', '26_Mobile', '23_Beginner Friendly', '27_Robotic Process Automation']"
Amy Munoz,"['26_Mobile', '17_Low/No Code', '28_Databases', '14_COVID-19', '16_Health', '10_Communication', '2_DevOps', '21_Enterprise', '24_Quantum', '18_Design', '4_Gaming', '9_Cybersecurity', '8_Voice skills', '23_Beginner Friendly', '20_E-commerce/Retail', '27_Robotic Process Automation', '15_Music/Art', '11_Productivity', '5_AR/VR', '7_IoT', '3_Fintech', '25_Web', '1_Blockchain', '19_Education', '13_Social Good', '12_Lifehacks', '22_Open Ended', '6_Machine Learning/AI']"
Tanner Clark,"['8_Voice skills', '11_Productivity', '5_AR/VR', '25_Web']"
Jeffrey Lawrence,"['16_Health', '14_COVID-19']"
Kathleen Colon DDS,"['3_Fintech', '10_Communication', '22_Open Ended', '2_DevOps', '7_IoT', '14_COVID-19', '6_Machine Learning/AI', '21_Enterprise', '18_Design', '26_Mobile', '25_Web', '12_Lifehacks', '4_Gaming', '19_Education', '16_Health', '13_Social Good', '8_Voice skills', '27_Robotic Process Automation']"
Malik Anderson,"['5_AR/VR', '15_Music/Art', '20_E-commerce/Retail', '21_Enterprise', '27_Robotic Process Automation', '13_Social Good', '12_Lifehacks', '9_Cybersecurity', '18_Design', '4_Gaming', '25_Web', '22_Open Ended', '2_DevOps', '23_Beginner Friendly', '28_Databases', '8_Voice skills', '6_Machine Learning/AI', '16_Health', '7_IoT', '17_Low/No Code', '26_Mobile', '19_Education']"
Michael Johnson,"['1_Blockchain', '10_Communication', '22_Open Ended', '28_Databases', '11_Productivity']"
Yvonne Dunn,"['21_Enterprise', '7_IoT', '25_Web', '20_E-commerce/Retail', '16_Health', '12_Lifehacks', '9_Cybersecurity', '14_COVID-19']"
Jade Brown,"['22_Open Ended', '12_Lifehacks', '15_Music/Art', '9_Cybersecurity', '16_Health', '27_Robotic Process Automation', '18_Design', '10_Communication', '28_Databases', '14_COVID-19', '20_E-commerce/Retail', '6_Machine Learning/AI', '17_Low/No Code', '13_Social Good', '2_DevOps', '1_Blockchain', '19_Education', '4_Gaming', '5_AR/VR', '23_Beginner Friendly']"
Timothy Bryant,"['21_Enterprise', '2_DevOps', '18_Design', '7_IoT', '28_Databases', '26_Mobile', '17_Low/No Code', '27_Robotic Process Automation', '1_Blockchain', '11_Productivity', '24_Quantum', '15_Music/Art', '13_Social Good', '20_E-commerce/Retail', '8_Voice skills', '22_Open Ended', '12_Lifehacks', '19_Education']"
Robert Brown,"['22_Open Ended', '1_Blockchain', '6_Machine Learning/AI', '14_COVID-19', '19_Education', '9_Cybersecurity', '17_Low/No Code', '4_Gaming', '25_Web', '5_AR/VR']"
