,Recommendation1,Recommendation2,Recommendation3,Recommendation4,Recommendation5
Brittney Baker,API World Hackathon 2022,SHPE 2021 Cyber Security Challenge Sponsored by NSA and Raytheon ,MecSimCalc Hackathon 3.0,DeveloperWeek Austin 2021 Hackathon,Beantown Bash
Misty Ramsey,API World Hackathon 2022,INRIX Hack,AWS Data Exchange for APIs Challenge,RMRKable Hacktoberfest,California Artificial Intelligence Summit (GCL)
Meghan Carter,API World Hackathon 2022,HackElevate,Defense Hackathon SRM ,ProjectCSGirls Fremont 2021 Hackathon,Hajjathon
Erin Shah,The GoldenHack,SunflowerHack2021,Snap Developer Challenge 2021,Sunflower Hackathon,Ideathon: Innovative Ideas
Chloe Foley,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Sonya Lucas,Stanford's SLAC Program STEM Media Competition,Future of Regenerative Cities GITEX GLOBAL - DevSlam 2023,YouthCodeX,The GoldenHack 4.0,FemmeHacks 2023
Benjamin Anderson,API World Hackathon 2022,AI Classroom Challenge,Prompt Engineering Hackathon for Humanities,AI & Music festival hackathon,Clarkathon 2023
Karen Richards,Google’s Immersive Geospatial Challenge,Hack APAC - “The New Normal is Yours!”,Digital EduHack South Asia 2021,SHPE 2021 Cyber Security Challenge Sponsored by NSA and Raytheon ,Stellar Meridian Hackathon 2020
Mike Ryan,API World Hackathon 2022,SHPE 2021 Cyber Security Challenge Sponsored by NSA and Raytheon ,FDD Dart and Flutter Student Hackathon,uXperience | Think Privacy,Facebook Developer Circle Hackathon - Los Angeles
Savannah Miller,Zoohackathon Brasil 2019 - Estudantes unidos contra o tráfico de animais,QBHacks 2019,#PayAsYouKnow Hackathon,Human DeFi Haeck,A-Z Hacks
Cynthia Booker,hackTAMS Fall 2021,Genius Challenge,North Shore Hacks,Hacks4Health,Microsoft Student Summit Africa 2021 Hackathon
Jason Beltran,End-to-End Encrypted Flutter/Dart Hackathon 2021 - Moving to Cal Hacks 8.0,Columbia Data Science Society Hackathon 2023,DivHacks,Beantown Bash,The GoldenHack
Amanda Stafford,API World Hackathon 2022,TigerHacks,Qubit 24Hr Hackathon,6ixBits,Cyber Hacks
James Thomas,API World Hackathon 2022,INRIX Hack 2023,Bring Down Counterfeiting 2022: Policy Hackathon,NSBEHacks UofT 2019 (Inaugural),CodeXplode: Ignite the Coding Revolution
Maria Strong DDS,Metaverso Hackathon,Hack At Home,Privacy4Web3 Hackathon,AT&T Next Gen TV Hackathon,Ultra Uniq NFT PFP Hackathon
Shelley Rosario,AT&T 5G Hackathon,HACK THE 5G CITY: A NEW ERA OF CITY SERVICES ON 5G,Hack Roboy #5,T-Mobile Hacktober 2019,API 2019 Hackathon
Tiffany Estrada,Castlethon 4.0,CodeDAO Web3 Hackathon,Courier Hacks: Feature Focus,FDD Dart and Flutter Student Hackathon,ForgeMcGill 
Tammy Bender,ACM Demothon,hackUMBC Fall 2021,Hack OC,The Civicode,PowerToFly Student Hackathon (October 2022)
April Richards,API World Hackathon 2022,Hack the Valley V,DojoHacks2020,TiE University APP-A-THON 2022,Start Green Hackathon 2020
Mariah Lee,API World Hackathon 2022,Opportunity Hack 2023 - Virtual,Uganda Zoohackathon 2019,Give Back Hacks 2.0,hackNYUAD
George Rose,Start Green Hackathon 2020,SWC Hacks,5G Edge Computing Challenge with AWS,Miami Buildathon,Agora.io HolidayHack 2018
Jacob Davis,SHPE 2021 Cyber Security Challenge Sponsored by NSA and Raytheon ,FRC Back to School Hackathon,Appathon@HCC - Spring 2021,Automate for Good,HackED Society's Decodeathon
Jasmine Dixon,Turn Language into Action: A Natural Language Hackathon for Good,Finclusion Hackathon,Garuda Hacks v2.0,Hydrogen X Future Hackathon,Hack APAC - “The New Normal is Yours!”
Zachary Carter,HACK LPS,TechTogether New York,Hackathon Solidário,HackTCNJ 2021,Helyx India Hacks
Rebecca Jackson,API World Hackathon 2022,AWS Graviton Hackathon,HackUIowa '23,Campus Hack,2020 Tunisian Smart Cities Online Hackathon
Harold Jackson,Google’s Immersive Geospatial Challenge,Fitch 2022 Codeathon for Education,Genius Challenge,MetroHacks 2021,BostonHacks 2022
Nicole Santos,Polyana App 2020,Hack the Crisis (Ages 8-17),Hacking for Humanity - Tech para la educación sexual,Solo Hacks 1.0,Random Power Hackathon
Anna Perry,API World Hackathon 2022,Climathon #1: Expanding NYC ,Celo's Make Crypto Mobile Hackathon,Google Maps Platform Hackathon,Hack This Fall 2.0
Dr. Jesse Ryan MD,AstonHack8,Hacknight 2023,BayMax,Live || Hack 3ª Edição,AR/VR Africa 2022 Metathon | Ethiopia
Aaron Vance,Haryana Steelers Hackathon,EduLearn Hackathon(✧Free Goodies for All!✧),Tigre Hacks,Agent:Hacker 2,Nokathon 
Alicia Hernandez,Google’s Immersive Geospatial Challenge,D3 Hackathon,Simple Javascript,NewHacks 2022,HackmaFest
Laura Miller,API World Hackathon 2022,Cutie Hack 2020: Stay At Home,Automate for Good,Theta Hackathon Q3 2021,XRPL Hackathon: NFT Launch Party
Regina Green,Data Natives Hackathon ,Devfest'22 Algiers,SHPE 2021 Cyber Security Challenge Sponsored by NSA and Raytheon ,MksU Hackfest 2023,IEEE Open Hacks
Oscar Long,Hackathon Deacero 2020,HACKMRU,HackEPS2020,Hackerslack,IDEAHACK
Dustin Tran,HackTX 2022,Horror Hacks 2023,The GoldenHack,The Climate Change-Makers Challenge: 2022,Intelligent Innovators Hackathon 2022
Jennifer Stewart,API World Hackathon 2022,HackUTA 2022,NewHacks 2022,hackUMBC Fall 2021,TechTogether Seattle 
Vanessa Camacho,Do-Re-Mi Hacks 3,Harvest Hacks,BusinessMeetsTech IdeaHack! 2022,iCUBE_2.0,Luna Hacks  : Software Engineering 
Carl Guerrero II,SystemsHacks 2020: LifeHacks,SyntHacks II,Fall 2022 BeaverHacks Life-Hackathon ,TechTogether New York,Lehman Hacks
Mark Walker,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Kathy Hamilton,EduLearn Hackathon(✧Free Goodies for All!✧),HarvestHacks Bay Area,Haryana Steelers Hackathon,Haryana Steelers Hackathon,Awaiken Hacks 2023
Julia Le,Google’s Immersive Geospatial Challenge,HACK-O-TOPIA,The Robots Are Coming,CodeXplode: Ignite the Coding Revolution,Fremont Hacks
Natasha Mcclain,Google’s Immersive Geospatial Challenge,UPitch 2019,TigerHacks,UNT NSBEHack 2022,Girls In Tech Hack
Michael Smith,API World Hackathon 2022,HackFit,Girls in Tech Mental Health for All Hackathon,Hack the Valley V,TigerHacks 2022
Patrick Parker,HELPFUL HACKATHON: Tackling Climate Change ,Sanford HealthHack 2020,DG Hack 01,HealthX 2021,Amazon Aurora Database Challenge
Justin Clay,MarinaHacks 2022,Innova BCP,CodeDAO Web3 Hackathon,CrowdHacks,Сarcheckvin
Christy Carter,API World Hackathon 2022,HackElevate,Defense Hackathon SRM ,ProjectCSGirls Fremont 2021 Hackathon,Hajjathon
Gary Williams,API World Hackathon 2022,TiE University APP-A-THON 2022,Microsoft US Hack for Wellness,Technica 2022,Cutie Hack 2020: Stay At Home
Kiara Rodriguez,Hack to the Future,AI Art Competition Sydney Australia,TAMU Datathon 2020,Chainlink Fall 2022 Hackathon,Call for Startups
Charles Valencia,Texas A&M Cybersecurity Club CTF Competition,Courier Hacks: Open Source,HackTable2020,2021 Calgary Youth Hackathon,Gagnaþon Ríkiskaupa
Elizabeth Alexander,Helyx India Hacks,HackEPS 2021,Liquid Hacks 3.0,Youth Data Hack,Hack WashU
Nicholas Hicks,The Global Hackathon - LA Blockchain Week ,Metis Ethereum Hackathon,Chainlink Fall 2022 Hackathon,Hack Your Path 4.0,Castlethon 4.0
David Smith,Digital EduHack South Asia 2021,Hack to the Future 2020,Hack APAC - “The New Normal is Yours!”,Hack4Earth,SHPE 2021 Cyber Security Challenge Sponsored by NSA and Raytheon 
Seth Gilmore, IoT Hack Day 2022,Stefanini Innovation Hackathon,IoT Hack Day 2019,HACKFEST 2019,Voicehacks Hackathon
Tina Pruitt,MLH Coding Challenge,Joint Aston-SIT AI/ML Hackathon,UF AI Days 24-hour Hackathon Oct 26-27th 2022. Register today to find teammates.,TMLCC 2021,API 2019 Hackathon
Juan Wells,Google’s Immersive Geospatial Challenge,2022 FOOD SYSTEMS CHALLENGE HACK,Midnight Hacks,Zoohackathon 2019 - Botswana,STEM JAM
Jerry Barrera,HACKMRU,Hajjathon,Spooky Software Hackathon,Hackadon 2020 - COVID-19 ONLINE EDITION,Hack to the Future
Debra Gregory,API World Hackathon 2022,Fitch 2022 Codeathon for Education,Hackatown 2020,Global Design Challenge for Sport and Physical Activity 2022 ,VTHacks X
Stephanie Turner,API World Hackathon 2022,Hack the Valley V,SingleStore Database Hackathon ,Turn Language into Action: A Natural Language Hackathon for Good,Microsoft Azure Innovation Challenge 
Kurt Barnes,Fall 2022 BeaverHacks Life-Hackathon ,SystemsHacks 2020: LifeHacks,Texas A&M Cybersecurity Club CTF Competition,Invention Studio Fall Hackathon,SyntHacks II
Curtis Harmon,MaHack,HackPrinceton Fall 2022,MarinaHacks 2022,Presto Hacks,Outside LLMs
Marisa Hart,Code Green,2. Provinzial Rheinland Hackathon: Future of Insurance,Encode Justice NY Hackathon,HACK-O-TOPIA,SASEhack Fall 2022
Shannon Smith,API World Hackathon 2022,Zoohackathon 2019 Colombia,Clarkathon 2023,California Artificial Intelligence Summit (GCL),CUNY Hackathon Fall 2021
Alicia Russell,Voicehacks Hackathon,Invention Studio Fall Hackathon,Snap Developer Challenge 2021,Startup Monterey Bay Hackathon,DevFest GDG Algiers 2k19
Daniel Graham,Helyx India Hacks,The ELC Virtual Hackathon,HackWise 2020,Machine Hacks,AWS Health AI Hackathon
Nathaniel Henry,Clarkathon 2023,HackQC 2022,hackUMBC Fall 2020,DivHacks,SHPE 2021 Cyber Security Challenge Sponsored by NSA and Raytheon 
Denise Ponce,BeagleHacks,Hack Concode,WildHacks,hackStoga 2023,Hack Our Community
Janet Moore,API World Hackathon 2022,Hydra Hacks III,HackUTD IX ,Microsoft Azure Innovation Challenge ,IvyHacks: First Ivy League Hackathon
Benjamin Williams,AI Hacks,Hack Dearborn: Disrupt Reality,Epson Innovation Challenge #3,"Project Program - UW CSC, DSC",Hackathon Colombia
Helen Mcdonald,Devfest Ikot-Ekpene 2022,DevFest Eket 2023 - Ecosolutions,Outsourcing Accounting Services,Google’s Immersive Geospatial Challenge,FEMTech Bootcamp
Robert Morales,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Michael Reyes,Google’s Immersive Geospatial Challenge,Global Hack Week December Day 3,Opportunity Hack 2023 - Virtual,All In Hackathon,Uganda Zoohackathon 2019
Judith Carroll,Privacy4Web3 Hackathon,Fintech Collab Hack: TIAA Challenge,NightHacks,Hack the Bubble - ARCADE,IBM Z Datathon 2023
David Harding,Abbey Road Hack-Power Of Immersion  9/10 Nov,Campus2030,Nordic IT Security Hackathon 2023,HackmaFest,AT&T Next Gen TV Hackathon
Makayla Mitchell,DemonHacks 2019,D Incuvator,Hackathon Solidário,The Hackathon 2020,OPTIV x SSF CYBER SECURITY 2023
Kristen Perkins,Google’s Immersive Geospatial Challenge,BostonHacks 2022,ClockHacks,NewHacks 2021,NextStep Hacks 2021
Deanna Pena,Azure Sentinel Hackathon 2021,T-Mobile Hacktober 2020,Cyber Defenders Hackathon,Texas A&M Cybersecurity Club CTF Competition,WQCC x IBM Quantum Qiskit Fall Fest Hackathon
Eric Torres,HackathonX,HB DApps Hackathon 2019,HECO Gaming Hackathon  2021,Game Oasis Hackathon San Francisco,Kin Crypto Challenge
Aaron Harris,API World Hackathon 2022,Courier Hacks: Open Source,AT&T 5G Hackathon,Girls in Tech NYC ClimateHack 2023,GovTech Hackathon 2021
Rebecca Smith,The GoldenHack 4.0,Hack The Runway ,The Civicode,Girls in Tech Virtual Hackathon: Fall 2020 Challenge, Luna Hacks 2.0
Kaylee Davis,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Heidi Reyes,Nordic IT Security Hackathon 2023,hackUMBC Fall 2020,RowdyHacks 2022,Gaming Hackathon ,The New Georgia Project Game Jam
Lee Bass,API World Hackathon 2022,Hack It Out,HackTable2020,Hack the Valley 7,Technica 2021
Emily Merritt,API World Hackathon 2022,HackWise 2021,Hackathon Bojonegoro,Hack-on-chain,HackTheMidlands 7.0
Marcus Graves,AR VR FEST HACKATHON,Thailand champion,AT&T Mixed Reality Hackathon with Magic Leap,AR/VR Africa Hackathon - in DRC,RealityFest 2021
Jennifer Perry,Helix Hacks,CORONATOR,Equal Opportunity StarHacks Hackathon: Sponsored by NetScout,Blueprint Datathon,The python coders
Gina Schmitt,Stellar Meridian Hackathon 2020,FDD Dart and Flutter Student Hackathon,DesignMerced,Privacy4Web3 Hackathon,Metaverso Hackathon
Charles Morgan,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Zachary Beasley,API World Hackathon 2022,Hack4Earth,Technica 2021,DubHacks '22,HackUTD VIII
Denise Campbell,HackQC 2022,12th Named Data Networking (NDN) Hackathon,hackTAMS Fall 2021,D Incuvator,Genius Challenge
Kevin Walker,AI Blockchain,CodeDAO Web3 Hackathon,uXperience | Think Privacy,Legend Hacks,12th Named Data Networking (NDN) Hackathon
Steven Adams,Fremont Hacks,XRPL Hackathon: NFT Launch Party,TechTogether New York,HackHolyoke 2022,Global Hack Week December Day 4
Beverly Mitchell,Google’s Immersive Geospatial Challenge,Hack the Valley 7,Microsoft Student Summit Africa 2021 Hackathon,Holiday Game Jam,Genius Challenge
Donald Smith,FemmeHacks 2023,ACM Demothon,WebJam NYC,Devfest Ikot-Ekpene 2022,DevFest Eket 2023 - Ecosolutions
Todd Garrett,API World Hackathon 2022,MuleSoft Hackathon 2021,Hack to the Future,TRON Grand Hackathon - Season 3,Privacy4Web3 Hackathon
Joanne Brown,API World Hackathon 2022,MontyHacks V,Pega Community Hackathon 2022,WeMakeDevs <> Stream Hackathon,Chainlink Fall Hackathon 2021
John Perez,NSBE FRC Hackathon 2019,Cutie Hack 2020: Stay At Home,Metis Ethereum Hackathon,#PayAsYouKnow Hackathon,Post Covid Hack 2020
Dennis Mcdonald,API World Hackathon 2022,Inspire2Dev Summer Hackathon,AWS Graviton Hackathon,WeMakeDevs <> Stream Hackathon,Chainlink Fall Hackathon 2021
Paul Shepard,EnactusHacks 2.0,HackTech COVID,YES-Europe Climathon,BitsxLaMarato,Enactus Windsor Hacks
Ann Wilson,API World Hackathon 2022,Climathon #1: Expanding NYC ,BusinessMeetsTech IdeaHack! 2022,HackHW 2022,Hack the Game of GO
Brady Daniels,TOHacks AR/VR Challenge,Clarkathon 2023,D Incuvator,HackAttack,HackQC 2022
Donna Boyd,Google’s Immersive Geospatial Challenge,SMU LIT Hackathon 2022,HackWesTX Fall 2023,Kolkata Zoohackathon 2019,Hack Your Learning - SchulichHacks 2023
Carol Noble,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Spencer Brooks,AR VR FEST HACKATHON,WQCC x IBM Quantum Qiskit Fall Fest Hackathon,AI Blockchain,T-Mobile Hacktober 2019,Oxford Blockchain Hack 2023 (hosted by HomeDAO)
Sierra Rivas,uXperience | Think Privacy,Utonhack 2021 / Clover ,hackBCA VI,HackCamp 2021,"Motor City Hack on Mobility, Health and Well-being"
David Garcia,Uganda Zoohackathon 2019,MD Hacks,Meet & Hack 2,AIHacks4Good,HackTable2020
Jennifer Marshall,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Benjamin Skinner,WildHacks,Support-a-thon,The Raccoons 2022,HackUTA 2022,Hack4Haryana
Carmen Lopez,API World Hackathon 2022,The Hackathon 2020,Liquid Hacks 2.0,NewHacks 2022,Design-a-thon
Derek Taylor,Google’s Immersive Geospatial Challenge,Hacks of Kindness,Facebook Developer Circle Hackathon - Los Angeles,SXR Hacks,2020 Facebook Developer Circles Community Challenge
Tyler Wallace,HackUiet 2021,Miami Buildathon,BostonHacks 2021,CPES Hack in Scratch 2022,Web3 Hackathon Puerto Rico 2.0
Krystal Miles,AUIB Hackathon ,sHacks v2.05 (pre-alpha release) FINAL (1).docx,Hack Plaksha,Mockupp,Haryana Steelers Hackathon
Erin Sandoval,API World Hackathon 2022,SharkHack's MiniHack,HackAttack,Micro Hack 2023,Decentralized Identity Foundation Hackathon
Edward Johnson,Lehman Hacks,Mixed Reality Challenge: StereoKit (C# and OpenXR),TechTogether New York,Seerbit Future of Payment Hackathon ,Hacks of Kindness
Scott Barry,API World Hackathon 2022,HackElevate,Defense Hackathon SRM ,ProjectCSGirls Fremont 2021 Hackathon,Hajjathon
Sarah Kennedy,Google’s Immersive Geospatial Challenge,Support-a-thon,Facebook Developer Circle Hackathon - Los Angeles,Give Back Hacks 2.0,HackATL 2021
John Higgins,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Carl Rollins,Hackadon 2020 - COVID-19 ONLINE EDITION,Intelligent Innovators Hackathon 2022,The Civicode,CodeOn 2023,Hack The Runway 
Matthew Gay,Step into STEM,IBM Z Datathon 2023,India Innovation Series - Delhi NCR,Hajj and Umrah Challenge - تحدي الحج والعمرة,NOVATHON
Jennifer Fernandez,Google’s Immersive Geospatial Challenge,Blockstack Can't Be Evil Contest: Part 3,Digital EduHack South Asia 2021,Sorobanathon: Road to Mainnet,Local Hack Day: Learn Day 7 
Jerry Bradley MD,Civo Hackathon 2021,Cloud Native Hackathon,Data Hackfest,MakeUC,HackMTY 2021
Victor Mckee,API World Hackathon 2022,Foursquare Places Hackathon,HackOnLisk2,Technica 2022,Cutie Hack 2020: Stay At Home
Jessica Zamora,PlutoHacks,NOVATHON,Build The World with Dolby.io Hackathon,Hello 8th Wall Workshop in Berlin!,UCL API Hackathon 2022
Marvin Schaefer,Civo Hackathon 2021,Cloud Native Hackathon,Hack Austin!,McGill Physics Hackathon 2021,MakeUC
Ralph Peck,Google’s Immersive Geospatial Challenge,FOLLOW THE WHITE RABBIT HACKATHON 2021,WebJam NYC,Hackathon 2k22,Castlethon 3.0
Justin Rivera,AMD Code Jam,IEEE Open Hacks,API 2019 Hackathon,PharmaHacks 2019,Facebook Developer Circles London: Building Conversational AI for Messenger
Gabriela Sanchez,2. Provinzial Rheinland Hackathon: Future of Insurance,DivHacks,UF AI Days 24-hour Hackathon Oct 26-27th 2022. Register today to find teammates.,Hackathon BDC Montréal 2020,Joint Aston-SIT AI/ML Hackathon
Brent Moore,Google’s Immersive Geospatial Challenge,Sunflower Hackathon,Hackathon 2k22,Strike: A Virtual Lightning Hackathon,Cipher | Finals | UNNAT 2022
Michael Rivera,Hopeathon Hawaii Has Been Cancelled Due to COVID,Torus 4 Everyone,Сarcheckvin,Fintech Collab Hack: TIAA Challenge,NextStep
Michael Evans,Intellothon,Climate AI Hackathon | SF #TechWeek,Hack WashU,AI For Good,HackEPS 2021
Tabitha Richards,Castlethon 3.0,MarinaHacks 2022,DeveloperWeek Enterprise 2022 Hackathon,API World Hackathon 2022,The GoldenHack
Tammy Long,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Alicia Chen,Hackathon Bojonegoro,Seerbit Future of Payment Hackathon ,2020 Tunisian Smart Cities Online Hackathon,Accenture Hackathon - Banking Revolution Edition,GreatUniHack19
Laura Phillips,HCI Hacks,CodeFest,HackRU Fall 2023,HackED 2022,AthenaHacks 2023
Janet Phillips,DeveloperWeek Enterprise 2022 Hackathon,Voicehacks Hackathon,Invention Studio Fall Hackathon,#HACK for Missions: Chicago | Orlando | Phoenix,Sales Kickoff - International Hackathon
Darin Wells,Ink and Metal | STEM Olympics,Civiso Designathon 2022,SASEhack Fall 2021,Google Maps Platform Hackathon,HappyHacks II
Albert Johnson,Google’s Immersive Geospatial Challenge,OSHHACK 11 [2022-2023] ,Prototypical,Hackathon Bojonegoro,CUNY Hackathon Fall 2021
Edwin Williams,The Brandeis Quant Club ML/AI Competition,AWS Graviton Hackathon,MuleSoft Hackathon 2021,Hackathon BDC Montréal 2020,FactHack 2023
Annette Parker,VR Summit Hackathon,Global Power Rankings Hackathon,SacHacks IV,Metaverso Hackathon,AR/VR Africa 2022 Metathon | Ethiopia
Nancy Patterson,Google’s Immersive Geospatial Challenge,Luna Hacks  : Software Engineering ,Haryana Steelers Hackathon,UNT NSBEHack 2023,HackmaFest
Debbie Henderson,What The Hack 2022,Data Natives Hackathon ,Megathon by E-Cell IIIT-Hyderabad,Defense Hackathon SRM ,EduLearn Hackathon(✧Free Goodies for All!✧)
Emily Lara,Tigre Hacks,Hack the Game of GO,YeeHaw Hacks 2,IEEE NJIT Byte into Hardware,IBM Z Datathon 2023
Michael White,jacobsHack!2022,Innovate2Educate Hackathon,WebWonders Hackfest,Encode Justice NY Hackathon,BlockHack 2023
Cesar Elliott,HackAttack,Hack Upstate XV,Post Covid Hack 2020,Hack The Heights 5,RMRKable Hacktoberfest
Tommy Livingston,Alexa Skills Challenge: In-Skill Purchasing,Abbey Road Hack-Power Of Immersion  9/10 Nov,Theta Hackathon Q3 2021,KuriusHacks: Christmas Edition 2021,AI Games
Evan Smith,OPTIV x SSF CYBER SECURITY 2023,Hackathon Bojonegoro,Girls in Tech Virtual Hackathon: Fall 2020 Challenge,SHPE 2020 Cyber Security Challenge ,SHPE 2020 Innovation Challenge
Laura Stewart DVM,Cipher | Finals | UNNAT 2022,Cyber Hacks,Bitcoin Hackathon for MFI & Education,Local Hack Day: Learn Day 2 ,FinHack 2
Matthew Simmons,2020 Facebook Developer Circles Community Challenge,AEC Hackathon Online V.1.1,Mechathon at Kathmandu University,monday.com Apps Marketplace Challenge: solutions for teams ,HackYourPath3.0
David Thornton,MetroHacks 2022,Conrad Challenge Jr. Hackathon,Microsoft Student Summit Africa 2021 Hackathon,Reconnect-Ed,Machine Hacks
Erik White,TRON Grand Hackathon - Season 3,Prompt Engineering Hackathon for Humanities,Ultra Uniq NFT PFP Hackathon,Kijiji Internal Hackathon,2. Provinzial Rheinland Hackathon: Future of Insurance
Anthony Gonzalez,HackEPS 2022,AR VR FEST HACKATHON,TAMU Datathon 2021,TAMU Datathon 2022,Hack Roboy #5
Michael Wilkerson,Courier Hacks: Open Source,HackOnLisk2,Sorobanathon: Road to Mainnet,STEM JAM,Carolina Hacks
Eric Gordon DDS,YouthCodeX,Rehack ,Devfest Ikot-Ekpene 2022,Ensenada Hackathon 2022,Ultra Uniq NFT PFP Hackathon
Caitlin Mejia,Megathon by E-Cell IIIT-Hyderabad,2021 NY Artificial Intelligence Healthcare Entrepreneurship AIdeathon,Pitt Challenge 2022,HealthCareCodings Medhackathon,California Artificial Intelligence Summit (GCL)
Kathryn Benson,WQCC x IBM Quantum Qiskit Fall Fest Hackathon,QuackHacks Spring 2023,Thailand champion,UofA Blueprint Hackathon,HackNEHS
Carol Cruz,API World Hackathon 2022,NOVATHON,Web3 Stack Hack,Snap Kit Developer Challenge 2020,Slimplicity: Slim.AI Hackathon
Amy Duran,Theta Hackathon Q3 2021,#HACK4WOMEN,Privacy4Web3 Hackathon,DevFest Algiers 2021 Hackathon,TRON Grand Hackathon - Season 3
Laura Vasquez,CSI Hackathon,Slimplicity: Slim.AI Hackathon,GreatUniHack19,Strike: A Virtual Lightning Hackathon,PayString BlockSprint Hackathon
Leonard Raymond,Helyx India Hacks,AI & Music festival hackathon,Blockstack Can't Be Evil Contest: Part 3,Spooky Software Hackathon,AI Art Competition Sydney Australia
Sarah Cohen,Oxfam/IFRAD Hackathon,Digital HackFair 2.0 | Bringing Technical Solutions to Empower Women,INRIX Hack,Devfest Ikot-Ekpene 2022,Hack At Home
Roberto Jackson,Google’s Immersive Geospatial Challenge,Smart Aurangabad Hackathon ,UGAHacks Makeathon,IncluTech Hack,"Motor City Hack on Mobility, Health and Well-being"
Caitlin Jenkins,API World Hackathon 2022,HackOnLisk2,AWSomeify Hackathon,BlockHack 2023,HackTX 2022
Heather Jensen,Google’s Immersive Geospatial Challenge,Hacks4Health,HackPSU Fall 2023,Privacy4Web3 Hackathon,CodeUp-Hack-22
Donna Sullivan,Alexa Skills Challenge: In-Skill Purchasing,NightHacks,The Raccoons 2022,Swiss Blockchain Hackathon 2021,Privacy4Web3 Hackathon
Kathryn Pace,Outsourcing Accounting Services,Campus Hack,Celo's Make Crypto Mobile Hackathon,Hajj and Umrah Challenge - تحدي الحج والعمرة,INRIX Hack 2023
Angelica Cohen,API World Hackathon 2022,Hack At Home,Metis Ethereum Hackathon,Mixed Reality Challenge: StereoKit (C# and OpenXR),Diffusion 2019
Kelsey Nguyen,Google’s Immersive Geospatial Challenge,Hack the Bronx 2,CodeRED Odyssey,HackED Society's Decodeathon,Hack the Valley 8
Susan Nguyen,HackPrinceton,Geneva Zoohackathon,Garuda Hacks v2.0,Zoohackathon Finland,Micro Hack 2023
Dr. Philip Campbell,API World Hackathon 2022,Hack the Valley V,Mixed Reality Challenge: StereoKit (C# and OpenXR),Codetivate,Hack Concode
Sheri Jones,API World Hackathon 2022,Luna Hacks  : Postman ,Hydra Hacks III,Defense Hackathon SRM ,ProjectCSGirls Fremont 2021 Hackathon
Meredith Wilcox,HackPrague 2021,Cybersecurity Hackathon- Secure Kenya,Chainlink Fall Hackathon 2021,SLO Hacks Go,Accenture Hackathon - Banking Revolution Edition
Natasha Wade,Nylas and AI: Email and Calendaring for the Future,uXperience | Think Privacy,Simple Javascript,HR Hackathon: Embrace distributed teams and remote HR,Devfest'22 Algiers
Kenneth Johnson,HackUiet 2021,2023 PICO Dev Jam,Liquid Hacks 3.0,STEM JAM,Kent Hack Enough 2022
Bradley Franklin,API World Hackathon 2022,AWS Graviton Hackathon,Microsoft #BuildFor2030 Hackathon,HackTable2020,Hack the Change 2022
Noah Estrada,Hacks4Health,DigitalBits Blockchain Hackathon,Chainlink Fall 2022 Hackathon,hackTAMS Fall 2021,Constellation: A Chainlink Hackathon
Carlos Ayala,API World Hackathon 2022,HACKMRU,SacHacks IV,Tigre Hacks,Zoohackathon Brasil 2019 - Estudantes unidos contra o tráfico de animais
Susan Bell,Decentralized Identity Foundation Hackathon,Loki Hackathon @ NY Blockchain Week,Quipu Blockchain Hackathon,MinorityProgrammers: ElectionHackathon,GDST Bali Trackathon
Troy Kennedy,API World Hackathon 2022,API World Hackathon 2021,The Hackathon 2020,The Metaverse Healthcare Hackathon,AT&T 5G Hackathon
Ann Drake,Luna Hacks  : Software Engineering ,SkyHack 2023,Hack4Earth,TiE University APP-A-THON 2022,Hawaii Annual Code Challenge 2021
Trevor Ford,Google’s Immersive Geospatial Challenge,Accessibility for All: Hacking for an Inclusive Future,NEXT CREATE-A-THON,Beyond Code,LearnHacks
Larry Wright,NEXT CREATE-A-THON,FemmeHacks 2023,ACM Demothon,Bring Down Counterfeiting 2022: Policy Hackathon,CodeOn 2023
John Gordon,Ideate,Intelligent Innovators Hackathon 2022,Castlethon 4.0,The Global Hackathon - LA Blockchain Week ,Slimplicity: Slim.AI Hackathon
Jody Martinez,Google’s Immersive Geospatial Challenge,Courier Hacks: Feature Focus,HackRPI Fall 2020,Facebook Developer Circle Hackathon - Los Angeles,Cutie Hack 2021
Jasmin Castro,Google’s Immersive Geospatial Challenge,OSHHACK 11 [2022-2023] ,NEXT CREATE-A-THON,Data Hackfest,12th Named Data Networking (NDN) Hackathon
